driver=hardware size=960x540 samples=216 flow-prepare=0.45ms/pair fuse=0.17ms/frame

fps  start  alpha  lane        psnr  xfade   gain   bad%   max
 60   0.35   0.17  linear      44.89  39.21   5.68   0.48   53
 60   0.35   0.17  occlusion   39.49  33.63   5.85   0.74  118
 60   0.35   0.17  detail      33.47  29.96   3.51   3.13  204
 60   0.35   0.50  linear      42.90  33.28   9.62   0.55   70
 60   0.35   0.50  occlusion   47.51  29.88  17.63   0.39   96
 60   0.35   0.50  detail      27.83  24.73   3.10   4.46  184
 60   0.35   0.83  linear      41.88  37.46   4.42   0.47   71
 60   0.35   0.83  occlusion   47.72  35.58  12.14   0.79   27
 60   0.35   0.83  detail      32.25  29.98   2.27   3.34  174
 60   1.10   0.17  linear      41.14  36.01   5.13   0.72  100
 60   1.10   0.17  occlusion   41.50  32.43   9.07   2.05   65
 60   1.10   0.17  detail      33.77  30.07   3.70   2.11  229
 60   1.10   0.50  linear      41.14  31.82   9.32   0.71  118
 60   1.10   0.50  occlusion   46.35  26.73  19.62   0.84   90
 60   1.10   0.50  detail      28.55  24.75   3.80   2.66  225
 60   1.10   0.83  linear      42.24  37.52   4.71   0.72   94
 60   1.10   0.83  occlusion   37.68  30.90   6.78   1.86   66
 60   1.10   0.83  detail      34.27  29.96   4.30   2.47  109
 60   1.95   0.17  linear      40.70  36.18   4.52   0.84  106
 60   1.95   0.17  occlusion   40.07  33.51   6.55   1.51   75
 60   1.95   0.17  detail      36.68  30.13   6.55   2.00  152
 60   1.95   0.50  linear      40.05  31.80   8.25   0.71  145
 60   1.95   0.50  occlusion   45.01  28.10  16.91   0.74  120
 60   1.95   0.50  detail      30.20  24.83   5.37   2.61  230
 60   1.95   0.83  linear      40.27  36.91   3.36   0.71  103
 60   1.95   0.83  occlusion   39.24  32.78   6.47   1.34   87
 60   1.95   0.83  detail      34.14  29.85   4.29   1.66  167
 60   2.55   0.17  linear      43.43  36.28   7.15   0.55   79
 60   2.55   0.17  occlusion   47.87  37.70  10.16   0.48   74
 60   2.55   0.17  detail      30.14  30.06   0.08   2.17  219
 60   2.55   0.50  linear      41.24  32.34   8.90   0.53  131
 60   2.55   0.50  occlusion   49.19  32.13  17.06   0.33   54
 60   2.55   0.50  detail      26.17  24.86   1.32   3.31  243
 60   2.55   0.83  linear      44.11  38.23   5.88   0.46   81
